product_name,category,material,review_num,image_url,rating,size_recommendations,styling_suggestion,unique_product_features,keywords,recommend_indicators
나이키 에어포스 1 07 315122-111,운동화,천연가죽,1082,https://img.danawa.com/prod_img/500000/677/435/img/10435677_1.jpg?shrink=330:*&_v=20220810090926,4.0
락포트 드레스포츠2 알랜더 K70975,구두,천연가죽,1053,https://img.danawa.com/prod_img/500000/621/722/img/3722621_1.jpg?shrink=330:*&_v=20230906092817,4.5
인텐스바이엘칸토 클래식 스니커즈 LCMS56I126,캐주얼화,인조가죽,1053,https://img.danawa.com/prod_img/500000/009/478/img/13478009_1.jpg?shrink=330:*&_v=20210226173754,3.8
베라왕 슈퍼라이트 스판 부츠,부츠,천연가죽,1042,https://img.danawa.com/prod_img/500000/513/889/img/28889513_1.jpg?shrink=330:*&_v=20231020145222,4.5
쏘르망 남성용 방한화,부츠,천연가죽,1017,https://img.danawa.com/prod_img/500000/906/701/img/5701906_1.jpg?shrink=330:*&_v=20210111102022,5.0
락포트 클래식 페니로퍼 M76443,구두,천연가죽,956,https://img.danawa.com/prod_img/500000/498/365/img/3365498_1.jpg?shrink=330:*&_v=20230404154432,4.0
휠라 레인저 1RM01141D_147,운동화,인조가죽,926,https://img.danawa.com/prod_img/500000/006/914/img/12914006_1.jpg?shrink=330:*&_v=20230131134231,3.5
푸마 엑시스 KR 370997-01,운동화,인조가죽,795,https://img.danawa.com/prod_img/500000/955/332/img/7332955_1.jpg?shrink=330:*&_v=20190812151549,4.2
나이키 감마 포스 DX9176-100,운동화,"천연가죽,인조가죽,폴리에스터",777,https://img.danawa.com/prod_img/500000/552/871/img/19871552_1.jpg?shrink=330:*&_v=20230420154918,4.2
나이키 에어 줌 스트럭처 24 DA8535-001,런닝화,폴리에스터,771,https://img.danawa.com/prod_img/500000/673/365/img/17365673_1.jpg?shrink=330:*&_v=20220630132038,4.2
크록스 클래식 올 터레인 클로그 206340-001,샌들,크로슬라이트,748,https://img.danawa.com/prod_img/500000/314/828/img/10828314_1.jpg?shrink=330:*&_v=20230614110100,3.8
슈퍼카미트 경량 EVA 방수 방한부츠 WT2010,부츠,EVA,724,https://img.danawa.com/prod_img/500000/588/031/img/13031588_1.jpg?shrink=330:*&_v=20211223092242,4.2
오트리 메달리스트 스니커즈 AULW LL15,캐주얼화,천연가죽,709,https://img.danawa.com/prod_img/500000/419/129/img/15129419_1.jpg?shrink=330:*&_v=20230306101625,3.8
행텐 패딩 방한 부츠 NI-259,부츠,기타,704,https://img.danawa.com/prod_img/500000/376/904/img/12904376_1.jpg?shrink=330:*&_v=20221215174949,4.0
아디다스 듀라모 10 와이드 GY3855,런닝화,폴리에스터,658,https://img.danawa.com/prod_img/500000/454/477/img/16477454_1.jpg?shrink=330:*&_v=20220823092032,4.8
밀레(MILLET) 남성 패딩 방한화,부츠,인조가죽,572,https://img.danawa.com/prod_img/500000/472/580/img/18580472_1.jpg?shrink=330:*&_v=20221223104153,4.0
행텐 천연가죽 털안감 방한화 HT-5009,부츠,천연가죽,557,https://img.danawa.com/prod_img/500000/902/645/img/12645902_1.jpg?shrink=330:*&_v=20210507112805,4.2
SNRD 패딩부츠 SN510,부츠,방수지,556,https://img.danawa.com/prod_img/500000/611/728/img/6728611_1.jpg?shrink=330:*&_v=20201111110558,5.0
닥터마틴 2976 첼시 스무스 11853001,부츠,천연가죽,554,https://img.danawa.com/prod_img/500000/547/930/img/2930547_1.jpg?shrink=330:*&_v=20230111141659,4.5
크록스 바야 라인드 퍼즈 스트랩 클로그 206633-4HE,샌들,크로슬라이트,549,https://img.danawa.com/prod_img/500000/170/549/img/12549170_1.jpg?shrink=330:*&_v=20230405130021,4.5
휠라 필드게이지 1RM02229E_100,운동화,인조가죽,523,https://img.danawa.com/prod_img/500000/232/224/img/17224232_1.jpg?shrink=330:*&_v=20220706181748,5.0
닥터마틴 3홀 1461 스무스 11838002,워커,천연가죽,489,https://img.danawa.com/prod_img/500000/899/818/img/1818899_1.jpg?shrink=330:*&_v=20230825141147,4.2
